2016-08-31 14:39:01,843  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:01,927  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,027  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,153  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,249  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,348  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,426  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,530  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,627  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,750  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,853  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:02,950  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,033  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,130  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,215  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,335  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,416  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,517  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,617  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,716  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,821  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:03,921  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,021  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,122  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,247  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,328  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,424  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,505  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,606  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,708  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,843  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:04,925  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,026  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,114  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,219  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,344  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,418  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,524  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,622  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,749  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,839  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:05,964  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,056  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,136  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,238  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,329  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,413  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,513  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,614  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,739  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,839  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:06,938  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,017  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,117  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,217  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,319  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,418  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,519  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,622  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,722  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,824  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:07,926  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,026  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,134  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,229  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,336  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,412  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,546  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,620  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,716  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,823  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:08,918  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:09,018  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
2016-08-31 14:39:09,117  - ERROR - Problem with encoding image! <type 'exceptions.Exception'> | Error text:('spam', 'eggs')
